node_1	node_2	number	step_1	step_2	delta	length
1	2	1	0	0	0.015052937	0.206875316
2	3	1	0	0	0.015655055	0.303347317
3	4	1	0	0	0.016281257	0.403678198
4	5	1	0	0	0.016932507	0.508022314
5	6	1	0	0	0.017609807	0.616540195
6	7	1	0	0	0.0183142	0.729398791
7	8	1	0	0	0.019046768	0.846771731
8	9	1	0	0	0.019808638	0.968839589
9	10	1	0	0	0.020600984	1.095790161
10	11	1	0	0	0.021425023	1.227818756
11	12	1	0	0	0.022282024	1.365128494
12	13	1	0	0	0.023173305	1.507930622
13	14	1	0	0	0.024100237	1.656444836
14	15	1	0	0	0.025064247	1.810899617
15	16	1	0	0	0.026066817	1.971532591
16	17	1	0	0	0.027109489	2.138590883
17	18	1	0	0	0.028193869	2.312331506
18	19	1	0	0	0.029321624	2.493021755
19	20	1	0	0	0.030494489	2.680939614
20	21	1	0	0	0.031714268	2.876374186
21	22	1	0	0	0.032982839	3.079626142
22	23	1	0	0	0.034302152	3.291008176
23	24	1	0	0	0.035674238	3.510845492
24	25	1	0	0	0.037101208	3.7394763
25	26	1	0	0	0.038585256	3.97725234
26	27	1	0	0	0.040128667	4.224539422
27	28	1	0	0	0.041733813	4.481717988
28	29	1	0	0	0.043403166	4.749183695
29	30	1	0	0	0.045139292	5.027348032
30	31	1	0	0	0.046944864	5.316638941
31	32	1	0	0	0.048822659	5.617501487
32	33	1	0	0	0.050775565	5.930398535
33	34	1	0	0	0.052806588	6.255811465
34	35	1	0	0	0.054918851	6.594240912
35	36	1	0	0	0.057115605	6.946207537
