x	y	z0	number	x_step	y_step	z_step	plan_area	hw	hn	Kw	Kn	Sy	Qw	Qn
0.025398761	0	0	1	0	0	0	0.003405709	2.5	0	1000	1000	1	0	0
0.040451698	0	0	1	0	0	0	0.003916978	2.5	0.022614285	1	0.5	0.2	0	0
0.056106752	0	0	1	0	0	0	0.005644947	2.5	0.046133142	1	0.5	0.2	0	0
0.072388009	0	0	1	0	0	0	0.007570251	2.5	0.070592753	1	0.5	0.2	0	0
0.089320516	0	0	1	0	0	0	0.009711248	2.5	0.096030749	1	0.5	0.2	0	0
0.106930323	0	0	1	0	0	0	0.01208788	2.5	0.122486264	1	0.5	0.2	0	0
0.125244523	0	0	1	0	0	0	0.014721814	2.5	0.15	0.25	0.125	0.2	0	0
0.14429129	0	0	1	0	0	0	0.017636579	2.5	0.15	0.25	0.125	0.2	0	0
0.164099929	0	0	1	0	0	0	0.020857727	2.5	0.15	0.25	0.125	0.2	0	0
0.184700913	0	0	1	0	0	0	0.024413001	2.5	0.15	0.25	0.125	0.2	0	0
0.206125936	0	0	1	0	0	0	0.028332517	2.5	0.15	0.25	0.125	0.2	0	0
0.22840796	0	0	1	0	0	0	0.032648962	2.5	0.15	0.25	0.125	0.2	0	0
0.251581265	0	0	1	0	0	0	0.037397809	2.5	0.15	0.25	0.125	0.2	0	0
0.275681502	0	0	1	0	0	0	0.04261755	2.5	0.15	0.25	0.125	0.2	0	0
0.300745749	0	0	1	0	0	0	0.048349945	2.5	0.15	0.25	0.125	0.2	0	0
0.326812566	0	0	1	0	0	0	0.054640296	2.5	0.15	0.25	0.125	0.2	0	0
0.353922055	0	0	1	0	0	0	0.061537739	2.5	0.15	0.25	0.125	0.2	0	0
0.382115924	0	0	1	0	0	0	0.069095565	2.5	0.15	0.25	0.125	0.2	0	0
0.411437547	0	0	1	0	0	0	0.077371563	2.5	0.15	0.25	0.125	0.2	0	0
0.441932036	0	0	1	0	0	0	0.086428395	2.5	0.15	0.25	0.125	0.2	0	0
0.473646304	0	0	1	0	0	0	0.096333998	2.5	0.15	0.25	0.125	0.2	0	0
0.506629143	0	0	1	0	0	0	0.107162019	2.5	0.15	0.25	0.125	0.2	0	0
0.540931295	0	0	1	0	0	0	0.118992293	2.5	0.15	0.25	0.125	0.2	0	0
0.576605534	0	0	1	0	0	0	0.131911351	2.5	0.15	0.25	0.125	0.2	0	0
0.613706742	0	0	1	0	0	0	0.146012977	2.5	0.15	0.25	0.125	0.2	0	0
0.652291998	0	0	1	0	0	0	0.161398801	2.5	0.15	0.25	0.125	0.2	0	0
0.692420665	0	0	1	0	0	0	0.178178955	2.5	0.15	0.25	0.125	0.2	0	0
0.734154478	0	0	1	0	0	0	0.196472771	2.5	0.15	0.25	0.125	0.2	0	0
0.777557644	0	0	1	0	0	0	0.216409538	2.5	0.15	0.25	0.125	0.2	0	0
0.822696936	0	0	1	0	0	0	0.238129329	2.5	0.15	0.25	0.125	0.2	0	0
0.8696418	0	0	1	0	0	0	0.261783886	2.5	0.15	0.25	0.125	0.2	0	0
0.918464459	0	0	1	0	0	0	0.287537582	2.5	0.15	0.25	0.125	0.2	0	0
0.969240024	0	0	1	0	0	0	0.315568466	2.5	0.15	0.25	0.125	0.2	0	0
1.022046612	0	0	1	0	0	0	0.346069383	2.5	0.15	0.25	0.125	0.2	0	0
1.076965463	0	0	1	0	0	0	0.379249195	2.5	0.15	0.25	0.125	0.2	0	0
1.134081068	0	0	1	0	0	0	1.00E+20	2.5	0.15	0.25	0.125	0.2	0	0
